Team,Diagnosis Code,Z score
UW-biostat,L80-L99,296.4369189
UW-biostat,L97,45.86967839
UW-biostat,L97.5,26.17076358
UW-biostat,L97.52,12.58898442
UW-biostat,L97.529,12.59637083
UW-biostat,R25,-96.74474113
UW-biostat,R25.2,-91.70031633
UW-biostat,I50.2,83.82341871
UW-biostat,I50.20,3.146776691
UW-biostat,I42,30.13899587
UW-biostat,I42.9,51.11462202
UW-biostat,D68.4,97.00011618
UW-biostat,D50,13.51582178
UW-biostat,D50.9,19.78894465
UW-biostat,I26-I28,179.4953415
UW-biostat,I26,177.7082528
UW-biostat,I26.9,177.7249456
UW-biostat,I26.99,208.2871988
UW-biostat,R91.1,28.13181271
UW-biostat,I50.21,-2.101390546
UW-biostat,I27,46.02146577
UW-biostat,I27.8,52.30973211
UW-biostat,I27.82,37.71819665
UW-biostat,C30-C39,81.15860396
UW-biostat,C34,71.90585834
UW-biostat,C34.1,31.40785693
UW-biostat,C34.11,29.33907883
UW-biostat,J43,-54.72745823
UW-biostat,J43.9,2.098408205
UW-biostat,D64,518.7318139
UW-biostat,D64.9,457.8944752
UW-biostat,I11,45.82611527
UW-biostat,I11.0,46.88944363
UW-biostat,L60,-5.238768523
UW-biostat,L60.2,-1.051158264
UW-biostat,C34.9,116.4637676
UW-biostat,C34.91,54.40262808
UW-biostat,Z99,144.5824689
UW-biostat,Z99.8,81.12838269
UW-biostat,Z99.81,107.1476429
UW-biostat,J34,16.71085637
UW-biostat,J34.8,5.235316071
UW-biostat,J34.89,5.235335742
UW-biostat,R59,30.27166158
UW-biostat,R59.0,25.10771529
UW-biostat,I25.8,-73.82558421
UW-biostat,I25.82,-34.74847054
UW-biostat,I25.11,-117.2362577
UW-biostat,I25.119,-34.7137726
UW-biostat,T80-T88,121.3436471
UW-biostat,T82,110.0098601
UW-biostat,T82.8,80.2071025
